time,room_id,temperature,target_temperature,occupied,light_level,energy_usage_kw,heater_on,cooler_on,lights_on,external_temp,solar_flux
0.03,R1,19.93,22.50,True,1.00,0.15,True,False,False,-149.95,2.00
0.03,R2,19.91,19.00,False,1.00,0.10,False,False,False,-149.95,2.00
0.03,Control,19.92,22.50,True,0.95,0.15,True,False,False,-149.95,2.00
0.06,R1,19.84,22.50,True,0.97,1.08,True,False,False,-149.90,2.00
0.06,R2,19.82,19.00,False,0.96,0.10,False,False,False,-149.90,2.00
0.06,Control,19.83,22.50,True,0.92,1.08,True,False,False,-149.90,2.00
0.09,R1,19.75,22.50,True,1.00,1.11,True,False,False,-149.86,2.00
0.09,R2,19.74,19.00,False,0.97,0.10,False,False,False,-149.86,2.00
0.09,Control,19.75,22.50,True,1.00,1.11,True,False,False,-149.86,2.00
0.12,R1,19.67,22.50,True,0.94,1.14,True,False,False,-149.81,2.00
0.12,R2,19.65,22.50,True,1.00,0.15,True,False,False,-149.81,2.00
0.12,Control,19.65,22.50,True,0.96,1.14,True,False,False,-149.81,2.00
0.15,R1,19.59,22.50,True,0.95,1.17,True,False,False,-149.76,2.00
0.15,R2,19.57,22.50,True,0.90,1.18,True,False,False,-149.76,2.00
0.15,Control,19.57,22.50,True,1.00,1.18,True,False,False,-149.76,2.00
0.18,R1,19.51,22.50,True,1.00,1.20,True,False,False,-149.71,2.00
0.18,R2,19.49,22.50,True,0.93,1.21,True,False,False,-149.71,2.00
0.18,Control,19.49,22.50,True,1.00,1.20,True,False,False,-149.71,2.00
0.21,R1,19.43,22.50,True,0.97,1.22,True,False,False,-149.66,2.00
0.21,R2,19.41,22.50,True,0.99,1.23,True,False,False,-149.66,2.00
0.21,Control,19.40,22.50,True,1.00,1.23,True,False,False,-149.66,2.00
0.24,R1,19.34,22.50,True,1.00,1.25,True,False,False,-149.62,2.00
0.24,R2,19.33,22.50,True,0.97,1.26,True,False,False,-149.62,2.00
0.24,Control,19.32,22.50,True,1.00,1.26,True,False,False,-149.62,2.00
0.27,R1,19.27,22.50,True,1.00,1.28,True,False,False,-149.57,2.00
0.27,R2,19.25,22.50,True,0.98,1.29,True,False,False,-149.57,2.00
0.27,Control,19.24,22.50,True,1.00,1.29,True,False,False,-149.57,2.00
0.30,R1,19.19,22.50,True,1.00,1.31,True,False,False,-149.52,2.00
0.30,R2,19.17,22.50,True,1.00,1.31,True,False,False,-149.52,2.00
0.30,Control,19.17,22.50,True,1.00,1.32,True,False,False,-149.52,2.00
0.33,R1,19.11,22.50,True,0.99,1.34,True,False,False,-149.47,2.00
0.33,R2,19.09,22.50,True,1.00,1.34,True,False,False,-149.47,2.00
0.33,Control,19.09,22.50,True,1.00,1.35,True,False,False,-149.47,2.00
0.36,R1,19.02,19.00,False,0.91,0.11,False,False,False,-149.42,2.00
0.36,R2,19.01,22.50,True,0.89,1.37,True,False,False,-149.42,2.00
0.36,Control,19.01,22.50,True,0.96,1.37,True,False,False,-149.42,2.00
0.39,R1,18.95,22.50,True,0.98,0.15,True,False,False,-149.38,2.00
0.39,R2,18.92,22.50,True,1.00,1.40,True,False,False,-149.38,2.00
0.39,Control,18.95,22.50,True,1.00,1.40,True,False,False,-149.38,2.00
0.42,R1,18.87,22.50,True,1.00,1.42,True,False,False,-149.33,2.00
0.42,R2,18.85,22.50,True,1.00,1.43,True,False,False,-149.33,2.00
0.42,Control,18.86,22.50,True,1.00,1.42,True,False,False,-149.33,2.00
0.45,R1,18.79,22.50,True,0.93,1.45,True,False,False,-149.28,2.00
0.45,R2,18.76,19.00,False,0.98,0.18,False,False,False,-149.28,2.00
0.45,Control,18.78,22.50,True,1.00,1.45,True,False,False,-149.28,2.00
0.48,R1,18.72,22.50,True,1.00,1.48,True,False,False,-149.23,2.00
0.48,R2,18.68,19.00,False,1.00,0.10,False,False,False,-149.23,2.00
